ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-08-14T15:28:58,2026-08-14T20:28:58.819Z,ERROR,,,,,none,timeout: Runtime.evaluate
2026-08-14T16:23:55,2026-08-14T21:23:55.380Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:25:00,2026-08-14T21:25:00.002Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:26:00,2026-08-14T21:26:00.005Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:27:00,2026-08-14T21:27:00.005Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:28:00,2026-08-14T21:28:00.003Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:29:00,2026-08-14T21:29:00.005Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:30:00,2026-08-14T21:30:00.004Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:31:00,2026-08-14T21:31:00.004Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T16:32:00,2026-08-14T21:32:00.005Z,ERROR,,,,,none,no waitlist data in response or DOM | https://toast.app/r/oph-edina
2026-08-14T17:19:27,2026-08-14T22:19:27.797Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:00:11,2026-08-15T11:00:11.455Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:02:00,2026-08-15T11:02:00.003Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:03:00,2026-08-15T11:03:00.005Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:04:00,2026-08-15T11:04:00.005Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:05:00,2026-08-15T11:05:00.002Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:06:00,2026-08-15T11:06:00.005Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:07:00,2026-08-15T11:07:00.003Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:08:00,2026-08-15T11:08:00.004Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:09:00,2026-08-15T11:09:00.004Z,NO_MODULE,,,,,dom,waitlist module absent
