day_of_week,bin_start_ct,weeks_observed,mean_wait_minutes,min_wait_minutes,max_wait_minutes,mean_parties_ahead,share_of_minutes_with_line
Mon,06:30,1,0,0,0,0,0.0
Mon,06:45,1,0,0,0,0,0.0
Mon,07:00,1,0,0,0,0,0.0
Mon,07:15,1,4.0,4.0,4.0,0.4,0.4
Mon,07:30,1,0,0,0,0,0.0
Mon,07:45,1,0,0,0,0,0.0
Mon,08:00,1,0,0,0,0,0.0
Mon,08:15,1,0,0,0,0,0.0
Mon,08:30,1,0,0,0,0,0.0
Mon,08:45,1,0,0,0,0,0.0
Mon,09:00,1,0,0,0,0,0.0
Mon,09:15,1,0,0,0,0,0.0
Mon,09:30,1,0.7,0.7,0.7,0.1,0.067
Mon,09:45,1,0,0,0,0,0.0
Mon,10:00,1,10.0,10.0,10.0,2.8,0.6
Mon,10:15,1,22.7,22.7,22.7,9.7,1.0
Mon,10:30,1,23.3,23.3,23.3,9.7,1.0
Mon,10:45,1,26.0,26.0,26.0,11.7,1.0
Mon,11:00,1,21.3,21.3,21.3,8.9,1.0
Mon,11:15,1,16.3,16.3,16.3,4.1,1.0
Mon,11:30,1,13.3,13.3,13.3,1.7,1.0
Mon,11:45,1,9.3,9.3,9.3,1.2,0.667
Mon,12:00,1,0,0,0,0,0.0
Mon,12:15,1,0,0,0,0,0.0
Mon,12:30,1,0.7,0.7,0.7,0.1,0.067
Mon,12:45,1,0,0,0,0,0.0
Mon,13:00,1,0,0,0,0,0.0
Mon,13:15,1,0,0,0,0,0.0
Mon,13:30,1,0,0,0,0,0.0
Mon,13:45,1,0,0,0,0,0.0
Mon,14:00,1,0,0,0,0,0.0
Mon,14:15,1,0,0,0,0,0.0
Mon,14:30,1,0,0,0,0,0.0
Mon,14:45,1,0,0,0,0,0.0
Tue,06:30,1,0,0,0,0,0.0
Tue,06:45,1,0,0,0,0,0.0
Tue,07:00,1,0,0,0,0,0.0
Tue,07:15,1,0,0,0,0,0.0
Tue,07:30,1,0,0,0,0,0.0
Tue,07:45,1,0,0,0,0,0.0
Tue,08:00,1,0,0,0,0,0.0
Tue,08:15,1,0,0,0,0,0.0
Tue,08:30,1,0,0,0,0,0.0
Tue,08:45,1,0,0,0,0,0.0
Tue,09:00,1,0,0,0,0,0.0
Tue,09:15,1,0,0,0,0,0.0
Tue,09:30,1,0.7,0.7,0.7,0.1,0.067
Tue,09:45,1,0,0,0,0,0.0
Tue,10:00,1,0,0,0,0,0.0
Tue,10:15,1,0,0,0,0,0.0
Tue,10:30,0,,,,,
Tue,10:45,1,0,0,0,0,0.0
Tue,11:00,1,0,0,0,0,0.0
Tue,11:15,1,12.7,12.7,12.7,1.9,0.933
Tue,11:30,1,0,0,0,0,0.0
Tue,11:45,1,0,0,0,0,0.0
